0;None so None
2631;e des p
14320;None sl f
15472;None so None
17591;e des mf
28907;None sl f
29151;None sl f
31592;e des p
35976;None mu p
48413;a st f
53278;a# st f
58547;a st f
63519;None mu p
73210;g des p
77877;g des p
82254;g des mf
87935;"None mu p	"
95000;end end end
95100;end end end
