699;A s hi nv mf
1598;B l hi mf
5451;C s hi mf
5914;M m p
7290;B s lo p
7880;F s
8605;B l lo p
11455;C s lo p
11928;M s p
12634;C s lo p
13369;M m p
14519;C m me mf
15330;F s
15850;C s hi mf
16476;fine
16644;C s hi mf
17382;F s
17758;C m hi mf
18906;F s
19347;C m hi mf
20431;F l
21534;C s me mf
22065;fine
22590;C s me mf
23063;fine
23404;B l hi f
27924;C s hi mf
28405;fine
29219;C s lo p
29838;F s
30593;B m me p
31988;C s p
32441;fine
32808;C m mi p
33431;M s p
33962;C m me f
34664;fine
35057;C s hi mf
35522;fine
35574;C s hi mf
36153;fine
36904;C m hi mf
38014;fine
38806;C s me mf
39202;M l p
40913;C m lo mf
42139;fine
43645;C m lo p
44927;fine
45493;C m lo p
46626;fine
47545;D s lo p
48025;F s
48653;C m lo p
49160;F s
49934;B l lo p
52980;C s me f
53302;fine
54409;B l me mf
57837;fine
57876;C m hi mf
58362;M m p
59256;C l hi f
60534;fine
61191;C l hi f
62488;fine
62969;D s lo f
63542;M s p
63959;D s lo p
64220;fine
64371;M l p
67497;D m lo p
68008;fine
68486;C m lo p
68996;F l
71057;M m lo p
72064;fine
72905;C s me mf
73335;fine
73374;C m me p
73940;F m
74704;M s
75420;A l hi nv f
78587;fine
78594;C s hi f
79135;F m
80384;M m p
81967;fine
82217;A m hi nv mf
84334;B l hi f
87029;C s hi f
87557;fine
87697;F l
91105;M m p
92524;fine
92965;A m me pv
96400;A m me mv
99367;C s lo p
99815;fine
99887;F m
101954;M m p
103228;fine
103534;C m hi f
104131;C m hi f
104666;A l hi mv f
107267;D s hi f
107585;fine
107800;F l
111334;M m
112927;fine
113070;A l hi pv f
118202;A l hi mv f
119553;A l hi pv f
121516;C l hi mf
122901;F m
124317;M l
126252;fine
126590;A l lo nv p
128684;A l lo pv p
131222;A l lo v p
133596;fine
133693;C m me p
134279;fine
134391;F l
137275;M m
138322;fine
138490;B l me mf
141826;A m hi nv mf
143951;C l hi mf
144914;fine
144992;M l
146884;F m
148098;fine
148158;A l hi nv mf
151231;B l hi mf
153784;C s hi mf
154259;fine
154302;F m
155753;M l
157427;fine
157530;C l hi mf
158407;C l hi f
159298;F l
161162;C m lo p
161700;C m lo p
162708;A l lo nv p
164807;A l lo mv p
167670;F m
169460;M m170936;F m
171813;A s hi v p
172325;A m hi v p
173365;A s hi v mf
175259;A s hi nv f
177693;C s hi f
178170;C s hi f
178625;C s hi mf
179186;fine
179499;A l lo pv p
181493;A l lo mv p
184452;C m lo p
185100;M s
185740;A l me pv p
187793;A l me mv mf
189881;C m me mf
190466;M s
191128;A l hi pv f
197137;A l hi nv f
198980;C m hi f
199841;fine
200290;B l lo p
202856;fine
203049;C s me mf
203514;C s me mf
204063;fine
204371;M s
204924;fine
205093;B s lo p
206368;B s lo p
207157;A l lo pv p
209298;C s lo p
209910;fine
210177;A l me pv mf
214293;C s hi mf
214874;M s
215234;fine
215315;C s hi f
215896;C s hi f
216419;C s hi f
217197;A l hi pv f
218608;A l hi mv f
221905;C s hi f
222589;fine
223090;M s
223509;fine
223535;C m hi f
224123;C m hi f
225130;M m
225538;fine
225588;C m hi f
226152;C l hi f
227079;C m lo p
227596;A m lo pv p
229025;A l lo mv p
234443;C m me p
235207;M s
235668;fine
235762;A s me pv p
236803;A s me v p
238408;A s me pv p
238877;fine
239183;B l me mf
241534;B m me p
243054;B s me p
243684;fine
243778;M s
244564;fine
245020;A m me pv mf
246828;A m me mv mf
248427;A s me v p
249075;A m me pv p
250259;C m me mf
250797;F s
251230;C s me mf
251949;C s me mf
252588;F m
253304;fine
253356;A m hi pv f
254701;A m hi mv f
256868;D s hi mf
257236;M l
258380;fine
258454;M l
260054;fine
260292;A l me hi nv mf
262547;A s me hi pv mf
263630;A l me mv mf
265330;C m hi mf
266080;A l hi nv mf
268414;A m hi nv mf
269823;fine
269848;F
270635;C s lo p
271497;C s lo p
272582;A m me pv mf
274851;B m me p
276419;D s hi p
276645;fine
276719;M m
277776;fine
277849;C m hi mf
278383;C m hi mf
279022;A l me nv mf
280542;A l me v mf
283419;A l me v mf
286410;D s lo mf
286649;fine
286679;M m
287557;C m me p
288115;C m me p
288752;C m me p
289365;C m hi p
289939;D s hi mf
290130;fine
290188;D s me mf
290396;fine
290496;D s hi p
290727;D s me p
291027;M s
291409;A m hi v mf
293305;A l hi nv f
295642;B l hi mf
297373;M m
298276;B l hi f
299931;D s hi f
300379;fine
301540;C l hi f
303624;C s lo p
304098;A m lo v p
306856;A l lo pv p
312213;D s hi mf
312589;M m
314028;B m me p
316137;D s lo p
316326;fine
317327;B m me mf
319023;A l me nv p
321246;C s me p
321886;M m
322905;C s hi p
323616;C s hi p
324247;A m hi mv p
325495;A l hi nv f
328182;M m
329492;A l hi pv mf
332644;A l hi mv mf
334113;A l hi nv mf
335810;B m hi p
338011;D s lo p
338630;fine
340422;fine
340587;A l hi v f
342464;C s hi f
342986;C s hi f
343495;A l me nv p
345696;C m me p
346666;M m
348760;fine
348848;C m hi p
349800;C m hi p
350775;C m hi mf
351729;B m me p
353265;A l me nv mf
355611;B m me p
357040;C s lo p
357433;C s lo p
357921;C s lo p
358383;C s lo p
358895;fine
359082;F s
359953;M m
361915;A m me mv mf
364437;fine
364606;A m me nv mf
366278;C s hi mf
366793;C s hi mf
367383;C s hi mf
367958;A l hi nv mf
369981;A l hi mv mf
371833;C s hi mf
372622;F m
373715;M l
375251;fine
375452;C s hi mf
376120;A l me nv mf
378419;C s hi mf
379057;A l me nv mf
381223;A m me mv mf
382716;C s me p
383079;C s me p
383457;C s me p
383893;F
385305;M s
386530;C s lo p
387213;A m lo nv p
388904;C s lo p
389604;fine
392215;A m me v mf
394463;B m me mf
395573;fine
395672;A m me nv p
397098;A m me v p
399710;C s me p
